original_url,source_website,resolution,search_query,local_path,short_caption
https://baohanam.com.vn/DATA/IMAGES/2022/07/15/20220715153615-56293959377-2494722457337145-456-2523-9931-1657874081.jpg,Báo Hà Nam,2048x1536,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_84514a18.jpg,
https://afamilycdn.com/150157425591193600/2024/4/18/nha-giua-duong-2-1713416762239-1713416763061389905099.jpg,aFamily,1600x900,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_2748747f.jpg,
https://danviet.mediacdn.vn/296231569849192448/2024/11/21/lat-da-via-he-2-17321954724991923353005.jpeg,Dân Việt,2000x1288,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_4f09dee8.jpeg,
http://media.vietq.vn/files/dang_long_trai_bo_vn_2.jpg,VietQ,1000x693,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_a7eef770.jpg,
https://static.ttbc-hcm.gov.vn/w815/images/upload/09192023/s1e-2641_046149b4.jpg,Trung tâm Báo chí TPHCM,560x327,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_13056852.jpg,
https://static-cms-prod.vinfastauto.com/quy-dinh-loi-do-xe-may-tren-via-he.jpg,VinFast,800x480,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_9cadd695.jpg,
https://thumb.photo-ac.com/86/86cba3c8986006f15b5513bb0d2d565f_t.jpeg,photoAC,511x340,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_f2fd4bfc.jpeg,
https://static-images.vnncdn.net/files/publish/2022/12/10/da-nguyen-chi-thanh-857.jpg,VietNamNet,1500x1125,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_d50e5abd.jpg,
https://photo.znews.vn/w660/Uploaded/spivpdiv/2024_09_14/goc.jpeg,Lifestyle - Znews,660x660,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_66a16673.jpeg,
https://hnm.1cdn.vn/2024/09/24/4(1).jpg,Phường Đồng Nhân - UBND thành phố Hà Nội,1200x784,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_61000c9d.jpg,
https://mediabcb.mediatech.vn/upload/image/202003/medium/1261_1.jpg,Báo Cao Bằng,1023x697,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_ab0e22a4.jpg,
https://ddk.1cdn.vn/2023/12/27/W_fd461cbd4d35e56bbc24.jpg,Báo Đại Đoàn Kết,1920x1440,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_5fdbd067.jpg,
https://image.plo.vn/Uploaded/2025/wopobun/2022_11_08/z3864358186646-41e1231e84b0f6c7126e45f43f405ed6-2954.jpg,PLO,4000x2250,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_71b76bd1.jpg,
https://static.kinhtedothi.vn/w960/images/upload/2024/08/28/20240827-201708.jpg,Báo Kinh tế đô thị,960x720,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_12445417.jpg,
